epoch,score,epsilon
1,15,0.9920299301136144
2,19,0.9821566111698136
3,16,0.973841589962245
4,15,0.9660800044319772
5,14,0.9588597091353822
6,22,0.9478932586190235
7,15,0.9403384831029963
8,10,0.9351795317249728
9,37,0.917574496577849
10,23,0.9066266837209999
11,14,0.8998507310564098
12,24,0.8886698277259029
13,29,0.8754359736720191
14,40,0.8576678395884348
15,28,0.8453183187303144
16,13,0.8394202830818028
17,20,0.8306503004341474
18,37,0.8150130594146197
19,36,0.8000702292615582
20,10,0.7956808274813141
21,25,0.7854013679368537
22,13,0.7799213905557423
23,81,0.7485835941449885
24,21,0.7403922615512425
25,32,0.7282730179547252
26,12,0.7235534186586253
27,27,0.7134917512240484
28,9,0.7099323085571124
29,39,0.695871226460228
30,27,0.6861945050497837
31,50,0.6689134940867506
32,29,0.6589521976870846
33,34,0.6475180164114541
34,34,0.6362822417909691
35,16,0.630895422342501
36,34,0.6199480840524855
37,35,0.6088861093342081
38,31,0.5992190573176799
39,33,0.5891159273318531
40,43,0.5762937325443386
41,14,0.571986624533141
42,15,0.5674278511615342
43,10,0.5643147884215953
44,11,0.5609381953838629
45,16,0.5561892450253283
46,12,0.5525848407640089
47,10,0.5495532107956945
48,12,0.5459918115911422
49,23,0.5394774455130031
50,10,0.5365177262619544
51,9,0.533841165414337
52,13,0.5301163978865424
53,15,0.5258913331474677
54,14,0.5219609229311034
55,14,0.5180598878413009
56,11,0.5149600622717705
57,22,0.5090704790647583
58,11,0.5060244418695731
59,18,0.5012387810468929
60,22,0.49550612773289854
61,10,0.492787647030023
62,25,0.4864212869184065
63,11,0.4835107717865818
64,15,0.4796571571446226
65,12,0.4765487218114192
66,14,0.4729870887386839
67,11,0.4701569575006927
68,9,0.46781145493277415
69,8,0.46571050878033315
70,18,0.4613061117746347
71,16,0.4574006550898618
72,9,0.4551187907167724
73,10,0.45262188587375807
74,8,0.4505891562353321
75,9,0.44834127282923636
76,13,0.4452130633118822
77,20,0.44056162598251486
78,11,0.437925513391623
79,10,0.4355229355205906
80,9,0.43335021394888135
81,11,0.4307572510399836
82,13,0.42775173043763254
83,10,0.42540496869295613
84,7,0.42370632367699096
85,8,0.42180345413177645
86,13,0.4188604068157413
87,18,0.41489908860023367
88,10,0.41262283992665844
89,11,0.4101538998295848
90,13,0.4072921348956314
91,9,0.4052602501536315
92,12,0.402633946632551
93,13,0.3998246506337294
94,11,0.3974322888538445
95,9,0.395449592566554
96,16,0.39210168276141727
97,8,0.3903407499901545
98,9,0.3883934317236502
99,17,0.3849127073449474
100,8,0.3831840603377077
101,10,0.3810818088914065
102,7,0.3795601465625972
103,8,0.37785553796199073
104,10,0.37578252023136427
105,9,0.37390782955175167
106,15,0.37092775801915756
107,11,0.36870830159000323
108,9,0.36686890252465815
109,9,0.36503867978896715
110,15,0.36212929599981525
111,12,0.35978250416713436
112,11,0.3576297356705535
113,9,0.35584560496697226
114,8,0.3542474986214878
115,20,0.35054643911827926
116,10,0.34862324649387155
117,8,0.3470575758360677
118,8,0.34549893662161524
119,10,0.3436034359617805
120,9,0.3418892791710819
121,9,0.3401836739057629
122,8,0.33865590545700125
123,10,0.33679794751788983
124,8,0.3352853844018596
125,9,0.33361272441554224
126,9,0.3319484089367996
127,12,0.3297972054203499
128,11,0.3278238547824892
129,9,0.3261884186138854
130,9,0.3245611412519779
131,9,0.3229419819943975
132,10,0.3211702348916586
133,9,0.31956799206900227
134,13,0.31733827177596835
135,11,0.3154394695098044
136,8,0.31402282754260447
137,8,0.3126125477293428
138,10,0.31089747069817225
139,11,0.3090372071421802
140,11,0.3071880745242752
141,10,0.305502757620994
142,14,0.3032194890367895
143,11,0.30140516689497554
144,7,0.300201653955046
145,9,0.29870401845479094
146,7,0.2975112912194792
147,7,0.29632332655236204
148,10,0.2946976165965032
149,11,0.29293428531252375
150,9,0.29147290500649914
151,12,0.28958400443846194
152,9,0.2881393378963581
153,8,0.28684530110667067
154,8,0.28555707584978285
155,14,0.28342287743742695
156,8,0.2821500223211463
157,9,0.28074244216874245
158,8,0.27948162491537687
159,9,0.2780873567705221
160,13,0.2761470591249009
161,11,0.27449472561111954
162,7,0.27339866625149173
163,9,0.272034744557836
164,9,0.2706776271489703
165,10,0.26919261643987724
166,10,0.2677157529013846
167,7,0.2666467620272099
168,8,0.26544924862125363
169,9,0.2641249847039377
170,9,0.26280732722808575
171,10,0.2613654951140963
172,10,0.2599315732812503
173,9,0.25863483574947954
174,11,0.2570872871053098
175,9,0.25580473904882634
176,9,0.25452858932318095
177,9,0.2532588060086049
178,8,0.25212141805359634
179,11,0.25061284262312755
180,9,0.24936259404858624
181,12,0.24774659085427517
182,8,0.2466339583153596
183,7,0.2456491471944474
184,9,0.24442366132986618
185,12,0.24283966506538518
186,19,0.2404227687675873
187,15,0.23850658249823134
188,10,0.23719807084571803
189,11,0.23577878967319832
190,27,0.23250007146298401
191,30,0.22892321830863213
192,21,0.22641823925984803
193,22,0.2238287004637261
194,18,0.2217118694291556
195,15,0.21994481033516405
196,17,0.21797369753877804
197,15,0.21623643193600012
198,8,0.21526531185139514
199,18,0.21322946795894776
200,19,0.21110727135835275
201,16,0.2093200192862765
202,11,0.20806754720104736
203,8,0.20713311366349604
204,8,0.206202876676766
205,11,0.20496905609996596
206,11,0.20374261812247907
207,9,0.2027261940828539
208,12,0.20141241974368984
209,10,0.20030741670589125
210,8,0.19940783399581394
211,11,0.19821467174354895
212,8,0.1973244875730549
213,8,0.19643830122901043
214,10,0.1953605875514016
215,9,0.19438597949240838
216,10,0.19331952540721387
217,10,0.1922589221777179
218,10,0.19120413770454278
219,10,0.19015514006441686
220,10,0.18911189750920804
221,10,0.18807437846496305
222,12,0.18685555574005897
223,12,0.1856446316393421
224,9,0.18471849420101707
225,11,0.18361322601691696
226,10,0.1826058741724434
227,8,0.18178578927561068
228,9,0.18087890269495976
229,9,0.17997654035832947
230,11,0.17889964578530423
231,10,0.17791815391749677
232,8,0.17711912162151316
233,9,0.17623551594906042
234,10,0.1752686402184598
235,7,0.1745687913119536
236,16,0.17309087711229282
237,9,0.17222736740500624
238,11,0.17119684022120993
239,7,0.17051325004057752
240,15,0.16915424752119934
241,7,0.16847881342750726
242,10,0.16755449306593762
243,14,0.16630222315800317
244,9,0.16547258044987184
245,10,0.16456475309591737
246,11,0.16358007537532446
247,8,0.16284543554051067
248,13,0.16170921482609626
249,8,0.16098297704563846
250,9,0.16017987080626905
251,11,0.159221430149305
252,12,0.15818958998616522
253,16,0.1568503434947275
254,10,0.15598982006592407
255,14,0.15482398228957872
256,9,0.15405160182760275
257,17,0.1526710142010821
258,11,0.1517575029938766
259,14,0.15062329673760083
260,10,0.1497969365723732
261,17,0.14845447862536687
262,12,0.14749241407601574
263,21,0.14587848688311345
264,10,0.14507815802871388
265,9,0.14435439719357882
266,15,0.14320388255953895
267,9,0.1424894720442403
268,17,0.14121250251143486
269,15,0.14008702899758732
270,9,0.1393881677322078
271,9,0.13869279292143966
272,11,0.13786292078522988
273,12,0.13696949520463705
274,13,0.13601381857066913
275,15,0.13492977893114677
276,17,0.1337205582477425
277,10,0.13298693107982548
278,12,0.13212510452461754
279,19,0.13081011063395426
280,21,0.12937872857962104
281,20,0.12802702285188555
282,18,0.12681622381371466
283,19,0.1255540673132371
284,21,0.1241801992083196
285,17,0.12306731466540052
286,11,0.12233093800755339
287,15,0.12135595188236609
288,11,0.12062981521074082
289,20,0.11936951520666646
290,16,0.1183589227622513
291,13,0.11753309759047491
292,14,0.11665467792767928
293,15,0.11572493199202187
294,12,0.11497497243824814
295,13,0.11417275808762814
296,18,0.11309298396964562
297,24,0.1116877712188167
298,20,0.11052089470262352
299,22,0.10925687045462072
300,25,0.10784537285281504
