epoch,score,epsilon,time
1,13,0.9930227045625007,0.0015859603881835938
2,11,0.9870809259323243,0.0031409263610839844
3,12,0.9806841127477479,0.010916948318481445
4,19,0.9709237146646298,0.012460947036743164
5,19,0.9612604583313399,0.014683008193969727
6,24,0.9493165215325956,0.01633000373840332
7,12,0.9431644419191232,0.018836021423339844
8,31,0.9281901805911033,0.021381139755249023
9,14,0.9212530665171942,0.02347397804260254
10,17,0.9129969330564653,0.025722026824951172
11,12,0.9070802238329163,0.027180910110473633
12,11,0.9016526843969468,0.029794931411743164
13,12,0.895809491981886,0.03143310546875
14,12,0.8900041665839042,0.03388500213623047
15,18,0.8815870670930053,0.03775906562805176
16,13,0.8754359736720191,0.04214596748352051
17,23,0.864990926165076,0.046296119689941406
18,11,0.8598152291978567,0.04925894737243652
19,19,0.8512577958655425,0.0525660514831543
20,31,0.8377427012264064,0.05814313888549805
21,33,0.8236179445087961,0.06311392784118652
22,22,0.81419825010847,0.0671699047088623
23,10,0.8097313381827551,0.06963300704956055
24,13,0.8040816034112525,0.07234501838684082
25,13,0.7984712885083941,0.0761721134185791
26,52,0.7775845491402175,0.08506894111633301
27,15,0.7713871459409963,0.09059810638427734
28,11,0.7667715297639581,0.09509992599487305
29,8,0.7633279507787228,0.0979619026184082
30,11,0.7587605570173169,0.10141110420227051
31,12,0.7538433821357534,0.10548090934753418
32,12,0.7489580731815793,0.10897302627563477
33,14,0.7433605052489739,0.11346793174743652
34,11,0.7389125872463826,0.11684894561767578
35,13,0.7337569758226774,0.12157106399536133
36,24,0.7246398350218617,0.12424612045288086
37,15,0.7188644048942786,0.12968802452087402
38,11,0.7145630599810453,0.13215303421020508
39,9,0.7109982728064922,0.1340649127960205
40,27,0.7011111960778661,0.14061903953552246
41,9,0.6976135170909614,0.1434321403503418
42,8,0.6944805274662552,0.14693999290466309
43,13,0.6896349316505328,0.1492760181427002
44,9,0.6861945050497837,0.15221691131591797
45,13,0.6814067232604628,0.15568900108337402
46,11,0.6773295074142136,0.1580829620361328
47,8,0.6742876134897883,0.1629171371459961
48,17,0.6682447478210375,0.16892504692077637
49,22,0.660602052137845,0.176116943359375
50,11,0.6566493216127431,0.1788640022277832
51,12,0.6523938822381367,0.18268704414367676
52,12,0.6481660203903393,0.18674707412719727
53,9,0.6449324724421291,0.18935608863830566
54,24,0.6369190015627815,0.19537591934204102
55,14,0.6321587920043614,0.19889593124389648
56,10,0.628690597806482,0.20453691482543945
57,11,0.6249288103449504,0.2093660831451416
58,11,0.6211895316420278,0.21281790733337402
59,9,0.6180905630563543,0.21763992309570312
60,12,0.6140850050933265,0.22487902641296387
61,7,0.6116329593720796,0.227431058883667
62,10,0.6082773754464013,0.2309739589691162
63,10,0.6049402011621751,1.0453710556030273
64,20,0.5986199880651266,1.8391940593719482
65,16,0.593552020452398,2.5188679695129395
66,10,0.5902956334504145,2.945462942123413
67,13,0.5861769664203653,3.515691041946411
68,38,0.5748544382271222,4.979557037353516
69,12,0.5711290735148113,5.4658989906311035
70,10,0.5679957048674754,5.8436079025268555
71,18,0.5626239588265294,6.446808099746704
72,18,0.557303015380182,7.09862208366394
73,36,0.5470851615600282,8.344542980194092
74,26,0.5397473191725894,9.236922025680542
75,24,0.5330408039803595,10.066297054290771
76,20,0.5274717717617938,10.762470960617065
77,19,0.5222220339480774,11.427874088287354
78,22,0.5162493957828885,12.201049089431763
79,23,0.510089893972876,13.037979125976562
80,17,0.505518543933814,13.649014949798584
81,19,0.5004872987417537,14.28441309928894
82,13,0.49699525099571656,14.737618923187256
83,23,0.49106547524569666,15.566713094711304
84,44,0.48013717428461355,16.92690396308899
85,27,0.4734604308043805,17.734583139419556
86,25,0.4673437604307052,18.523682117462158
87,74,0.4501386797263858,20.544217109680176
88,36,0.4418856268964029,21.54800295829773
89,55,0.42968143426719935,23.100981950759888
90,34,0.4222255741495324,24.190181970596313
91,41,0.41344911819607194,25.347211122512817
92,65,0.400024662965212,27.36637806892395
