epoch,score,epsilon
1,12,0.993519464294648
2,22,0.9821566111698136
3,17,0.973354669167264
4,13,0.9665632860750146
5,10,0.9612604583313399
6,16,0.9531223457267703
7,23,0.9417504025116805
8,15,0.9342445859881309
9,28,0.9207924399839357
10,24,0.9093513299157857
11,12,0.9034582461535571
12,15,0.8962576207922821
13,21,0.8864503737205981
14,22,0.876312066660663
15,18,0.8680244584369068
16,13,0.8619679953434173
17,13,0.8559537899822373
18,17,0.8482828589610505
19,13,0.8423641388395129
20,9,0.8381617821174651
21,18,0.8302349752839304
22,21,0.8211501771842891
23,21,0.8121647889613309
24,14,0.8060948262471712
25,10,0.8016723718975814
26,12,0.796477105467505
27,11,0.7917113628284419
28,12,0.7865806490732993
29,10,0.7822652547803074
30,11,0.7775845491402175
31,47,0.7591401270808573
32,14,0.7534664604446856
33,17,0.7467140056831161
34,27,0.7363302692509768
35,31,0.7246398350218617
36,38,0.710642773670089
37,9,0.7070975438826226
38,35,0.6944805274662552
39,13,0.6896349316505328
40,21,0.6820886413796821
41,13,0.6773295074142136
42,19,0.6705882891769959
43,19,0.6639141638728693
44,18,0.6576352813905723
45,11,0.6537003026197313
46,14,0.6488146728595305
47,28,0.6394724194069837
48,13,0.6350106314126487
49,15,0.6299495523016921
50,14,0.6252414310604806
51,20,0.6187091174965714
52,47,0.6040332444899652
53,19,0.5980215177320586
54,12,0.5941460179338273
55,9,0.5911819630824635
56,8,0.5885269586835032
57,13,0.5844206322198354
58,21,0.5780256433226661
59,13,0.5739925876387535
60,19,0.5682798447898704
61,9,0.5654448301974317
62,37,0.554800161690815
63,12,0.5512047594336427
64,9,0.5484549284291772
65,17,0.5435397566366702
66,16,0.5389381029368515
67,10,0.535981342665124
68,10,0.5330408039803595
69,10,0.5301163978865424
70,13,0.5264176191622251
71,18,0.5214390924984031
72,9,0.5188377554109553
73,28,0.5113670337787873
74,58,0.49649837999353363
75,68,0.4796571571446226
76,45,0.4687482485418297
77,28,0.4619987634785297
78,52,0.44991361038652267
79,18,0.4456586105077373
80,29,0.4390219713136189
81,42,0.42968143426719935
82,39,0.421171065250444
83,52,0.4101538998295848
84,30,0.4038439651222799
85,32,0.3972335727094176
86,148,0.36870830159000323
87,40,0.3612248776305073
88,158,0.33361272441554224
89,38,0.327168698644815
90,45,0.31972785599700076
91,58,0.31043135762636587
92,56,0.30170679826654245
93,60,0.29264142426078255
94,67,0.28285645667517456
95,89,0.27040701719122817
96,133,0.2528791077120392
97,70,0.24405720912506448
98,122,0.22949638581901383
99,64,0.22215584800245253
100,52,0.21634460423811916
101,64,0.20942473165210254
102,135,0.19565392171799403
103,171,0.17952704872387018
104,86,0.17188317092514446
105,157,0.15882377442853013
106,135,0.1483802513860542
107,143,0.13806992213324684
108,68,0.1333865909864099
109,111,0.12612047569284585
110,111,0.1192501755338386
111,100,0.11337614102353662
112,68,0.1095304228224987
113,71,0.10565650798688378
114,59,0.1025331170085118
115,68,0.0990551941340075
116,104,0.09398771496886456
117,61,0.09111808742815397
118,70,0.08793935695095845
119,66,0.08504147456712569
120,61,0.08244499312695763
121,79,0.07921148632440327
122,256,0.0696574168463231
123,92,0.06649172827376076
124,96,0.063343064647702
125,170,0.05815105618390522
126,89,0.055591637659758004
127,85,0.05325129026142373
128,91,0.05085663169080453
129,159,0.04694564880048679
130,172,0.0430545919995948
131,177,0.03938742624066062
132,162,0.036303939176016375
133,323,0.030873114958970983
134,499,0.024042502901405693
135,499,0.018723149462964585
136,499,0.014580691837704421
137,499,0.011354744290570781
138,499,0.009995187929535779
139,499,0.009995187929535779
140,475,0.009995187929535779
141,499,0.009995187929535779
142,499,0.009995187929535779
143,402,0.009995187929535779
144,499,0.009995187929535779
145,499,0.009995187929535779
146,499,0.009995187929535779
147,499,0.009995187929535779
148,499,0.009995187929535779
149,499,0.009995187929535779
150,499,0.009995187929535779
151,499,0.009995187929535779
152,499,0.009995187929535779
153,499,0.009995187929535779
