epoch,score,epsilon
1,13,0.9930227045625007
2,12,0.9865873854693582
3,17,0.9777457355241367
4,21,0.9670468094797544
5,10,0.9617413289958378
6,15,0.9540761833911156
7,18,0.9450531310740419
8,19,0.9356473554026741
9,25,0.9235596579170025
10,34,0.9075339908283304
11,9,0.9030065170304803
12,16,0.8953615872358951
13,9,0.8908948386988933
14,29,0.8776278503249659
15,39,0.8602453518737936
16,23,0.8499815475086839
17,18,0.8419429567700932
18,21,0.8327300447615915
19,19,0.8244421805788297
20,20,0.8158286841415902
21,22,0.8064980752848135
22,9,0.8024746459248447
23,17,0.7952829870675735
24,14,0.7893391956790312
25,17,0.7822652547803074
26,27,0.7713871459409963
27,18,0.7640918516073671
28,14,0.7583811767388083
29,10,0.7542204923819443
30,12,0.7493327395513549
31,12,0.7444766619775032
32,11,0.7400220654204669
33,21,0.7319244168585936
34,20,0.7242775151043508
35,18,0.7174277540217103
36,25,0.7081592517292976
37,8,0.7049789010996835
38,24,0.6962193361282921
39,18,0.6896349316505328
40,10,0.6858514077972588
41,12,0.6814067232604628
42,35,0.6692481181458235
43,26,0.660271751111776
44,10,0.6566493216127431
45,34,0.6452550999921252
46,19,0.6388331068556816
47,11,0.6350106314126487
48,18,0.6290051003566602
49,48,0.6137779625907799
50,77,0.5902956334504145
51,17,0.5850054914599224
52,37,0.5739925876387535
53,39,0.5626239588265294
54,38,0.5517563778724205
55,16,0.5470851615600282
56,21,0.5410987138867258
57,37,0.5309123683211118
58,38,0.520657324873795
59,49,0.5077990749071152
60,35,0.4987382185659387
61,22,0.493034164112079
62,46,0.4815801098923773
63,23,0.475834256080675
64,29,0.4687482485418297
65,51,0.4567148971005433
66,17,0.45262188587375807
67,12,0.4496886535813294
68,46,0.43924159210967373
69,67,0.42455479665034745
70,73,0.4091295399521963
71,21,0.4046526636729312
72,23,0.3998246506337294
73,18,0.3960433606244756
74,49,0.38626260025624704
75,35,0.3793703664893159
76,87,0.3630359788105761
77,38,0.35602361677535993
78,112,0.33646123376985887
79,66,0.32537376263076373
80,80,0.3124562414554782
81,81,0.29990152735150444
82,48,0.29264142426078255
83,77,0.28144535228779993
84,68,0.2718987271855571
85,131,0.25452858932318095
86,112,0.24054304028773116
87,62,0.23308219453511533
88,86,0.22315805316059978
89,350,0.18722973445797636
90,65,0.18115049259362453
91,63,0.17544404039784753
92,62,0.17000234928902014
93,71,0.16398963970542454
94,231,0.14602447485184658
95,75,0.14057831568103626
96,215,0.12618356747658413
97,378,0.10439589352902491
98,91,0.09970131204659592
99,85,0.09550399539823835
100,321,0.08129852061905725
101,152,0.07530968071112908
102,80,0.07231984407702421
103,119,0.06810724226911956
104,92,0.06501200376729924
105,255,0.0571992001855579
106,312,0.04891092455056617
107,299,0.042096443722335425
108,283,0.03652247239281776
109,325,0.031027905889488745
110,277,0.027000414775799373
111,282,0.023437020413335032
112,274,0.02042546598020773
113,318,0.017413444258319186
114,295,0.015017340309522455
115,286,0.013009367398568413
116,267,0.011377482194424365
117,289,0.009995187929535779
118,254,0.009995187929535779
119,304,0.009995187929535779
120,323,0.009995187929535779
121,374,0.009995187929535779
122,329,0.009995187929535779
123,342,0.009995187929535779
124,309,0.009995187929535779
125,356,0.009995187929535779
126,295,0.009995187929535779
127,306,0.009995187929535779
128,413,0.009995187929535779
129,437,0.009995187929535779
130,391,0.009995187929535779
131,457,0.009995187929535779
132,402,0.009995187929535779
133,397,0.009995187929535779
134,499,0.009995187929535779
135,472,0.009995187929535779
136,452,0.009995187929535779
137,380,0.009995187929535779
138,499,0.009995187929535779
139,451,0.009995187929535779
140,446,0.009995187929535779
141,499,0.009995187929535779
142,499,0.009995187929535779
143,499,0.009995187929535779
144,499,0.009995187929535779
145,499,0.009995187929535779
146,499,0.009995187929535779
147,499,0.009995187929535779
148,499,0.009995187929535779
149,499,0.009995187929535779
150,499,0.009995187929535779
