score,times,epoch
25.333333333333332,0.01513202985127767,1
29.333333333333332,0.039417664210001625,2
20.333333333333332,0.060378074645996094,3
16.0,0.062245686848958336,4
25.666666666666668,0.06491367022196452,5
18.333333333333332,0.06673940022786458,6
28.333333333333332,0.06943829854329427,7
23.333333333333332,0.07381629943847656,8
14.666666666666666,0.07759364446004231,9
21.0,0.0805653731028239,10
22.333333333333332,0.08375636736551921,11
14.0,0.08716201782226562,12
32.333333333333336,0.0925280253092448,13
26.666666666666668,0.0961160659790039,14
14.0,0.0988916556040446,15
14.333333333333334,0.10319836934407552,16
14.666666666666666,0.10631100336710612,17
26.0,0.11159634590148926,18
14.0,0.11628103256225586,19
18.333333333333332,0.12061238288879395,20
14.666666666666666,0.12394499778747559,21
15.333333333333334,0.12763468424479166,22
24.666666666666668,0.13185906410217285,23
17.666666666666668,0.1360307534535726,24
20.333333333333332,0.13997340202331543,25
13.666666666666666,0.1447786490122477,26
14.0,0.15005103747049967,27
20.666666666666668,0.15436410903930664,28
40.666666666666664,0.163317600886027,29
11.333333333333334,0.16784040133158365,30
12.0,0.17125972112019858,31
14.666666666666666,0.17560609181722006,32
10.0,0.17969139417012533,33
13.0,0.18364802996317545,34
13.333333333333334,0.18750564257303873,35
12.333333333333334,0.19125803311665854,36
13.333333333333334,0.19544672966003418,37
12.666666666666666,0.1988836924235026,38
13.333333333333334,0.20404942830403647,39
17.0,0.2092099984486898,40
12.0,0.21359038352966309,41
13.666666666666666,0.21842439969380698,42
11.333333333333334,0.22239200274149576,43
20.666666666666668,0.22718501091003418,44
20.333333333333332,0.23294568061828613,45
10.333333333333334,0.23697336514790854,46
24.0,0.24378363291422525,47
12.0,0.2487360636393229,48
18.333333333333332,0.615018367767334,49
16.666666666666668,1.1356697082519531,50
22.333333333333332,1.560784101486206,51
14.333333333333334,1.9966963926951091,52
14.0,2.4548283418019614,53
19.333333333333332,3.024755080540975,54
20.0,3.5745893319447837,55
15.666666666666666,3.8993283907572427,56
12.666666666666666,4.230487028757731,57
14.333333333333334,4.608444372812907,58
9.666666666666666,4.812698046366374,59
12.333333333333334,5.085610707600911,60
15.333333333333334,5.485229969024658,61
11.0,5.746078968048096,62
22.0,6.679354667663574,63
15.666666666666666,7.24429972966512,64
19.666666666666668,7.922244707743327,65
20.0,8.599989970525106,66
27.666666666666668,9.556870698928833,67
21.333333333333332,10.251888593037924,68
18.0,10.859474102656046,69
39.666666666666664,12.121447086334229,70
23.666666666666668,12.916377782821655,71
24.666666666666668,13.726969401041666,72
18.666666666666668,14.386706988016764,73
29.333333333333332,15.324705044428507,74
25.333333333333332,16.164134740829468,75
18.0,16.775119702021282,76
27.666666666666668,17.67252532641093,77
21.0,18.40657138824463,78
21.666666666666668,19.175538063049316,79
28.666666666666668,20.108544667561848,80
43.0,21.604346990585327,81
58.0,23.77194372812907,82
40.333333333333336,25.259804010391235,83
38.0,26.72371570269267,84
58.666666666666664,28.913591384887695,85
40.666666666666664,30.37223966916402,86
57.0,32.68862167994181,87
46.666666666666664,34.48478571573893,88
72.0,37.32777293523153,89
77.66666666666667,40.141431411107384,90
61.666666666666664,42.373063723246254,91
57.333333333333336,44.544536670049034,92
76.33333333333333,47.36807235081991,93
56.0,49.374843756357826,94
169.33333333333334,55.45429468154907,95
75.33333333333333,58.175902366638184,96
96.33333333333333,61.45482540130615,97
114.33333333333333,65.67223540941875,98
102.33333333333333,69.20822803179423,99
89.66666666666667,72.28057074546814,100
209.0,79.00406869252522,101
197.33333333333334,85.70780571301778,102
278.3333333333333,95.19287006060283,103
117.33333333333333,99.19241571426392,104
226.66666666666666,107.35861365000407,105
217.66666666666666,115.45795901616414,106
192.66666666666666,122.15051166216533,107
121.66666666666667,126.3083827495575,108
237.0,134.07667636871338,109
129.0,138.47109905878702,110
110.33333333333333,141.9257376988729,111
165.66666666666666,147.34030405680338,112
158.33333333333334,152.89476903279623,113
154.0,158.45072603225708,114
108.33333333333333,162.19988203048706,115
172.0,167.915896097819,116
172.66666666666666,173.88344995180765,117
135.33333333333334,178.47169240315756,118
148.0,183.22337635358176,119
202.33333333333334,190.16943271954855,120
195.33333333333334,197.00853633880615,121
157.0,202.30472540855408,122
214.33333333333334,209.7012724081675,123
160.0,214.81640934944153,124
285.3333333333333,223.80735802650452,125
271.0,232.2878930568695,126
244.33333333333334,240.58282208442688,127
246.66666666666666,249.43669072786966,128
271.0,259.5137787659963,129
244.33333333333334,269.07003537813824,130
212.0,276.68308130900067,131
247.33333333333334,284.850647687912,132
260.0,294.0378023783366,133
232.33333333333334,302.48551869392395,134
369.0,314.1801443894704,135
318.6666666666667,324.7168300151825,136
326.6666666666667,335.58962901433307,137
323.6666666666667,346.14802742004395,138
391.0,358.41637802124023,139
331.0,369.6124296983083,140
343.0,380.9336857000987,141
358.3333333333333,392.44227902094525,142
328.6666666666667,403.13003238042194,143
388.0,416.04965202013653,144
282.5,403.45569694042206,145
426.0,417.8612720966339,146
295.5,427.779422044754,147
371.0,440.8172744512558,148
293.5,451.075585603714,149
338.5,462.9161845445633,150
306.0,473.0707731246948,151
351.0,484.8474680185318,152
304.5,494.81459605693817,153
434.5,511.31171703338623,154
286.0,521.0496414899826,155
268.5,529.8314014673233,156
272.0,538.4497984647751,157
261.5,547.0963106155396,158
277.0,556.1383125782013,159
316.0,566.3571275472641,160
287.0,576.3017339706421,161
290.0,586.7390100955963,162
304.0,596.8551895618439,163
268.0,605.9589040279388,164
243.5,614.3252515792847,165
250.0,622.8866780996323,166
254.0,631.600879073143,167
