epoch,score,epsilon
1,12,0.993519464294648
2,16,0.98510824420837
3,20,0.974816162420625
4,15,0.9670468094797544
5,11,0.9612604583313399
6,15,0.95359914529942
7,17,0.9450531310740419
8,11,0.9393983797045142
9,13,0.9328439196758077
10,18,0.9240216687513781
11,27,0.9111723082293108
12,20,0.9016526843969468
13,12,0.895809491981886
14,26,0.883794344573043
15,40,0.8658565662672015
16,33,0.8512577958655425
17,26,0.8398402031833945
18,16,0.8327300447615915
19,40,0.8158286841415902
20,20,0.8073051786371559
21,31,0.7944879029012528
22,42,0.7775845491402175
23,49,0.7583811767388083
24,31,0.7463406486802746
25,19,0.7389125872463826
26,41,0.7235534186586253
27,42,0.7081592517292976
28,12,0.7035700004133906
29,40,0.6892901141847075
30,34,0.6773295074142136
31,75,0.6520676852970176
32,13,0.6475180164114541
33,46,0.6324750295191209
34,89,0.604637731061594
35,25,0.5968263714298979
36,10,0.593552020452398
37,11,0.5900004856336893
38,14,0.5855909359981866
39,8,0.5829610409605233
40,10,0.5797627589379976
41,10,0.5765820235561167
42,18,0.5711290735148113
43,12,0.5674278511615342
44,8,0.564879526728442
45,23,0.5581398065549269
46,13,0.5542455002291646
47,10,0.5512047594336427
48,10,0.5481807009649626
49,14,0.5440837043200641
50,10,0.5410987138867258
51,9,0.5383992995684405
52,21,0.5325078964365801
53,51,0.5188377554109553
54,29,0.511111350261898
55,33,0.5024937598400535
56,28,0.4952583746690321
57,29,0.4878831078997013
58,119,0.4594641132431935
59,140,0.4281798031958776
60,70,0.4132423936369739
61,40,0.4048550912185404
62,73,0.39014557961515944
63,26,0.3849127073449474
64,54,0.37446925262555913
65,165,0.3446360525956371
66,75,0.3317824347323312
67,123,0.3118317975007209
68,252,0.27476942634510804
69,499,0.21397726594479083
70,444,0.1712824814619409
71,499,0.1333865909864099
72,499,0.10387508695061302
73,453,0.08277551634278094
74,499,0.06446160662704298
75,499,0.05019961109915852
76,499,0.03909305222699119
77,379,0.03232682054033333
78,358,0.027013921736667706
79,499,0.021037148101035897
80,461,0.016697050096577123
81,499,0.01300286271486913
82,499,0.010126006558271863
83,499,0.009995187929535779
84,499,0.009995187929535779
85,499,0.009995187929535779
86,478,0.009995187929535779
87,499,0.009995187929535779
88,499,0.009995187929535779
89,499,0.009995187929535779
90,499,0.009995187929535779
91,499,0.009995187929535779
92,499,0.009995187929535779
93,499,0.009995187929535779
94,91,0.009995187929535779
95,70,0.009995187929535779
96,58,0.009995187929535779
97,68,0.009995187929535779
98,499,0.009995187929535779
99,499,0.009995187929535779
100,499,0.009995187929535779
101,499,0.009995187929535779
102,499,0.009995187929535779
103,499,0.009995187929535779
104,499,0.009995187929535779
105,499,0.009995187929535779
106,499,0.009995187929535779
107,499,0.009995187929535779
