epoch,score,time
1,14,2.2543351650238037
2,17,3.5995724201202393
3,15,4.9575355052948
4,18,6.287601709365845
5,14,7.612508535385132
6,18,8.952153205871582
7,16,10.31878924369812
8,45,11.667190313339233
9,36,13.021678924560547
10,13,14.351803541183472
11,33,15.69220519065857
12,28,17.048296213150024
13,20,18.3951632976532
14,23,19.729344606399536
15,25,21.07291054725647
16,14,22.402530908584595
17,17,23.751793146133423
18,14,25.101126670837402
19,18,26.433051109313965
20,13,27.77383303642273
21,12,29.138203382492065
22,21,30.49814486503601
23,14,31.879210710525513
24,24,33.223795652389526
25,16,34.59449076652527
26,11,35.985880851745605
27,12,37.37367796897888
28,24,38.77260661125183
29,26,40.155956745147705
30,30,41.530590534210205
31,11,42.88269257545471
32,34,44.2338662147522
33,24,45.58679223060608
34,12,46.92992329597473
35,30,48.306527853012085
36,14,49.68829607963562
37,12,51.05730605125427
38,15,52.422283411026
39,16,53.79583120346069
40,30,55.176392555236816
41,26,56.5746865272522
42,15,57.93922972679138
43,34,59.312543630599976
44,16,60.68247961997986
45,28,62.07091188430786
46,15,63.44638395309448
47,14,64.82074117660522
48,11,66.15819597244263
49,17,67.52414751052856
50,26,68.85756230354309
51,12,70.22446870803833
52,10,71.57145094871521
53,13,72.89993810653687
54,75,74.23486518859863
55,11,75.57435846328735
56,12,76.92905521392822
57,29,78.30601167678833
58,27,79.62413930892944
59,19,80.9606864452362
60,10,82.30611729621887
61,16,83.63295722007751
62,10,84.97446179389954
63,13,86.31530809402466
64,18,87.71250367164612
65,15,89.04190254211426
66,49,90.41471076011658
67,25,91.74458646774292
68,20,93.09294891357422
69,21,94.43519997596741
70,51,95.7906744480133
71,14,97.15187382698059
72,28,98.52269697189331
73,26,99.8645396232605
74,16,101.2023561000824
75,13,102.56980443000793
76,15,103.93989491462708
77,13,105.30188870429993
78,9,106.64540243148804
79,40,108.01571154594421
80,14,109.37048482894897
81,13,110.73271632194519
82,19,112.0990047454834
83,19,113.44688415527344
84,21,114.81937718391418
85,19,116.19380688667297
86,47,117.55621218681335
87,10,118.89866209030151
88,25,120.25252079963684
89,19,121.60620498657227
90,17,122.97364521026611
91,27,124.33468294143677
92,15,125.66066861152649
93,30,126.98905539512634
94,24,128.3348150253296
95,18,129.69748854637146
96,21,131.03738856315613
97,24,132.3564441204071
98,15,133.69782209396362
99,11,135.0573000907898
100,14,136.41160607337952
101,19,137.76877784729004
102,20,139.10708737373352
103,32,140.46190738677979
104,14,141.80525398254395
105,17,143.16227960586548
106,12,144.4895100593567
107,29,145.8216962814331
108,13,147.1700279712677
109,14,148.52270102500916
110,16,149.88617253303528
111,31,151.23870491981506
112,10,152.56080627441406
113,27,153.91130590438843
114,17,155.24856615066528
115,41,156.59736132621765
116,21,157.92795276641846
117,12,159.27779984474182
118,13,160.6298851966858
119,16,162.00377893447876
120,23,163.33689904212952
121,26,164.67685270309448
122,23,166.01038265228271
123,11,167.36772775650024
124,30,168.6978907585144
125,14,170.01939415931702
126,22,171.3447563648224
127,13,172.68146061897278
128,15,174.01879024505615
129,19,175.38843965530396
130,23,176.71942710876465
131,69,178.05642104148865
