epoch,score,epsilon
1,14,0.9925261932102195
2,15,0.9846156900862658
3,22,0.973354669167264
4,65,0.9417504025116805
5,16,0.9337774636951368
6,16,0.9258720244551295
7,34,0.9098062330323018
8,17,0.9016526843969468
9,9,0.8971545510546989
10,23,0.8864503737205981
11,35,0.8706330950236377
12,23,0.8602453518737936
13,26,0.8487072125673341
14,21,0.8394202830818028
15,35,0.8244421805788297
16,15,0.8178713187823323
17,14,0.8117587065668503
18,29,0.7996701941469275
19,24,0.7897340627103864
20,23,0.7803115463289066
21,28,0.7690758752772261
22,11,0.764474088651693
23,28,0.7534664604446856
24,24,0.7441044236465144
25,10,0.7400220654204669
26,26,0.7300964347128126
27,17,0.7235534186586253
28,11,0.71922401690273
29,15,0.7134917512240484
30,18,0.7067439951106813
31,9,0.703218215413184
32,16,0.697264710332416
33,24,0.6886009963930515
34,17,0.6824298563078359
35,8,0.6793650566630158
36,25,0.6705882891769959
37,9,0.6672428817993363
38,29,0.657306463749877
39,43,0.6430000919098481
40,9,0.6397923155647661
41,8,0.6369190015627815
42,11,0.6331079792213474
43,18,0.6271204422527937
44,15,0.622122248500858
45,15,0.6171638907024308
46,10,0.6137779625907799
47,7,0.6113271428923936
48,12,0.6073654155152287
49,15,0.6025246707069989
50,8,0.5998187260890874
51,17,0.594443239553604
52,12,0.5905909289148719
53,8,0.5879385788565595
54,8,0.5852981405301875
55,9,0.582378225659823
56,11,0.5788935495491895
57,26,0.5711290735148113
58,14,0.5668605651673355
59,12,0.5631870050348128
60,11,0.5598171601199543
61,15,0.5553553782302005
62,12,0.5517563778724205
63,7,0.5495532107956945
64,22,0.5432679867583519
65,22,0.5370546466449375
66,12,0.5335742448316299
67,15,0.5293216208107464
68,17,0.5245779188857322
69,17,0.5198767293143959
70,13,0.5162493957828885
71,13,0.5126473712290808
72,41,0.5019913917036535
73,64,0.4859349872368099
74,36,0.4770256281831953
75,45,0.4661765688049959
76,64,0.4512657164170785
77,81,0.4331335388419069
78,44,0.4234944705151525
79,41,0.4146916390559336
80,56,0.4030368827560863
81,60,0.3909268471145568
82,92,0.37316057456746204
83,70,0.36014255668818335
84,127,0.3378101119099084
85,55,0.3284803228719684
86,70,0.3170210128387604
87,97,0.3018577271301075
88,71,0.29118150496971895
89,62,0.2821500223211463
90,61,0.27353543396847596
91,83,0.2622821066532332
92,51,0.2555489982609623
93,57,0.24824270402236964
94,153,0.22984097492940683
95,82,0.22049549811726232
96,87,0.2110017177226736
97,71,0.20353892644001115
98,70,0.19643830122901043
99,133,0.18370507855619506
100,85,0.17597129482974438
101,225,0.1571644367000449
102,123,0.14771387412025475
103,262,0.12950820440697688
104,231,0.11532050177989929
105,203,0.10413516465447396
106,499,0.08109547746221342
107,232,0.0721753128324809
108,420,0.0584718485678875
109,499,0.04553507447214999
110,306,0.03905396894802726
111,245,0.03453294336107824
112,204,0.031167881170844423
113,499,0.024272052705940208
114,277,0.02112148634376457
115,499,0.016448401704098285
116,136,0.015359146825091654
117,326,0.013041939659165527
118,91,0.012455456356526303
119,499,0.009995187929535779
120,499,0.009995187929535779
121,499,0.009995187929535779
122,499,0.009995187929535779
123,499,0.009995187929535779
124,147,0.009995187929535779
125,499,0.009995187929535779
126,499,0.009995187929535779
127,499,0.009995187929535779
128,499,0.009995187929535779
129,499,0.009995187929535779
130,499,0.009995187929535779
131,499,0.009995187929535779
132,499,0.009995187929535779
133,149,0.009995187929535779
134,499,0.009995187929535779
135,186,0.009995187929535779
136,499,0.009995187929535779
137,499,0.009995187929535779
138,499,0.009995187929535779
139,499,0.009995187929535779
140,499,0.009995187929535779
141,499,0.009995187929535779
142,499,0.009995187929535779
143,499,0.009995187929535779
144,499,0.009995187929535779
145,499,0.009995187929535779
