epoch,score,epsilon
1,11,0.9940164725309134
2,12,0.9875747132889687
3,13,0.9806841127477479
4,14,0.973354669167264
5,20,0.9631853848044037
6,40,0.9436362600491477
7,11,0.9379899865663176
8,13,0.9314453533126285
9,23,0.9203320437639437
10,27,0.9075339908283304
11,14,0.900751257125721
12,18,0.8922325184136538
13,17,0.8842364628044451
14,28,0.8715043815290714
15,36,0.8555258130872462
16,19,0.847011070778718
17,11,0.8419429567700932
18,26,0.8306503004341474
19,15,0.8240299594885403
20,13,0.8182804590118382
21,36,0.8032777228282422
22,12,0.79807205286414
23,15,0.7917113628284419
24,27,0.7807018972775454
25,44,0.7633279507787228
26,73,0.7355941230642932
27,24,0.7264541551822697
28,19,0.71922401690273
29,17,0.7127784378457622
30,19,0.7056844090876688
31,26,0.6962193361282921
32,20,0.6889454691276152
33,59,0.6685790373397072
34,26,0.6596116444286021
35,46,0.6442877012028052
36,41,0.630895422342501
37,24,0.6230563658352183
38,24,0.6153147118525827
39,62,0.596229694265061
40,74,0.5742797275025047
41,10,0.5711290735148113
42,113,0.5394774455130031
43,14,0.5354454953177946
44,9,0.5327742835783693
45,11,0.5295864140177553
46,13,0.5258913331474677
47,29,0.5180598878413009
48,44,0.5065308460829445
49,44,0.4952583746690321
50,79,0.475834256080675
51,69,0.4594641132431935
52,118,0.432916972072486
53,136,0.40424811217242423
54,209,0.36394493173239506
55,228,0.3245611412519779
56,128,0.30428288297263023
57,116,0.28698879550442286
58,123,0.2697316753278689
59,61,0.26149624323571413
60,68,0.2526262918241041
61,33,0.2483668874661027
62,60,0.24090421596362763
63,187,0.2192858001475415
64,96,0.208901693123086
65,59,0.2027261940828539
66,95,0.19322286564451027
67,100,0.18370507855619506
68,89,0.17561961610905252
69,236,0.15598982006592407
70,47,0.1522897181523239
71,65,0.14734495853504326
72,61,0.14284623068388644
73,63,0.13834640749779573
74,59,0.13425664597432732
75,70,0.1295729909024281
76,149,0.12020824363654148
77,84,0.11520521010824485
78,88,0.11018974619567216
79,168,0.1012591136323053
80,499,0.07885574670822328
81,499,0.061409077818824716
82,205,0.05539735854095474
83,182,0.05055232963809738
84,177,0.04624654566307032
85,345,0.038898026176810825
86,127,0.03648595905104304
87,154,0.03376443810639081
88,239,0.029945471513632898
89,161,0.02761496552201822
90,251,0.02434499646243043
91,499,0.018958716956826445
92,499,0.014764140516665948
93,499,0.01149760533332766
94,255,0.010115883083215232
95,387,0.009995187929535779
96,499,0.009995187929535779
97,499,0.009995187929535779
98,499,0.009995187929535779
99,499,0.009995187929535779
100,499,0.009995187929535779
101,499,0.009995187929535779
102,499,0.009995187929535779
103,499,0.009995187929535779
104,499,0.009995187929535779
105,352,0.009995187929535779
106,499,0.009995187929535779
107,499,0.009995187929535779
108,499,0.009995187929535779
109,499,0.009995187929535779
110,499,0.009995187929535779
111,499,0.009995187929535779
112,499,0.009995187929535779
113,480,0.009995187929535779
114,499,0.009995187929535779
115,485,0.009995187929535779
116,274,0.009995187929535779
117,208,0.009995187929535779
118,147,0.009995187929535779
119,132,0.009995187929535779
120,114,0.009995187929535779
121,108,0.009995187929535779
122,208,0.009995187929535779
123,177,0.009995187929535779
124,128,0.009995187929535779
125,156,0.009995187929535779
126,154,0.009995187929535779
127,157,0.009995187929535779
128,145,0.009995187929535779
129,163,0.009995187929535779
130,149,0.009995187929535779
131,167,0.009995187929535779
132,135,0.009995187929535779
133,140,0.009995187929535779
134,146,0.009995187929535779
135,147,0.009995187929535779
136,164,0.009995187929535779
137,149,0.009995187929535779
138,138,0.009995187929535779
139,143,0.009995187929535779
140,142,0.009995187929535779
141,162,0.009995187929535779
142,156,0.009995187929535779
143,147,0.009995187929535779
144,151,0.009995187929535779
145,144,0.009995187929535779
146,174,0.009995187929535779
147,163,0.009995187929535779
148,194,0.009995187929535779
149,174,0.009995187929535779
150,192,0.009995187929535779
151,226,0.009995187929535779
152,218,0.009995187929535779
153,215,0.009995187929535779
154,156,0.009995187929535779
155,178,0.009995187929535779
156,217,0.009995187929535779
157,176,0.009995187929535779
158,191,0.009995187929535779
159,159,0.009995187929535779
160,196,0.009995187929535779
161,195,0.009995187929535779
162,228,0.009995187929535779
163,215,0.009995187929535779
164,173,0.009995187929535779
165,182,0.009995187929535779
166,216,0.009995187929535779
167,186,0.009995187929535779
168,184,0.009995187929535779
169,176,0.009995187929535779
170,184,0.009995187929535779
171,236,0.009995187929535779
172,183,0.009995187929535779
173,197,0.009995187929535779
174,260,0.009995187929535779
