epoch,score
247,123.0
248,275.0
249,141.0
250,199.0
251,180.0
252,415.0
253,138.0
254,310.0
255,167.0
256,193.0
257,102.0
258,208.0
259,213.0
260,350.0
261,228.0
262,170.0
263,361.0
264,154.0
265,304.0
266,191.0
267,131.0
268,197.0
269,333.0
270,319.0
271,234.0
272,351.0
273,235.0
274,219.0
275,120.0
276,271.0
277,186.0
278,380.0
279,95.0
280,175.0
281,366.0
282,500.0
283,500.0
284,230.0
285,154.0
286,247.0
287,481.0
288,186.0
289,135.0
290,432.0
291,241.0
292,148.0
293,214.0
294,237.0
295,500.0
296,156.0
297,92.0
298,468.0
299,388.0
300,336.0
301,320.0
302,500.0
303,302.0
304,154.0
305,177.0
306,274.0
307,242.0
308,172.0
309,458.0
310,299.0
311,133.0
312,208.0
313,150.0
314,182.0
315,106.0
316,134.0
317,46.0
318,85.0
319,184.0
320,151.0
321,217.0
322,84.0
323,174.0
324,109.0
325,125.0
326,201.0
327,177.0
328,138.0
329,246.0
330,133.0
331,175.0
332,74.0
333,182.0
334,148.0
335,140.0
336,210.0
337,209.0
338,171.0
339,148.0
340,147.0
341,203.0
342,129.0
343,219.0
344,143.0
345,222.0
346,172.0
347,235.0
348,240.0
349,435.0
350,313.0
351,143.0
352,214.0
353,262.0
354,283.0
355,165.0
356,167.0
357,116.0
358,223.0
359,165.0
360,211.0
361,285.0
362,303.0
363,404.0
364,500.0
365,444.0
366,500.0
367,500.0
368,192.0
369,253.0
370,500.0
371,462.0
372,225.0
373,500.0
374,500.0
375,161.0
376,457.0
377,206.0
378,245.0
379,199.0
380,185.0
381,140.0
382,191.0
383,344.0
384,276.0
385,217.0
386,134.0
387,500.0
388,169.0
389,188.0
390,318.0
391,141.0
392,207.0
393,253.0
394,189.0
395,153.0
396,198.0
397,235.0
398,359.0
399,108.0
400,88.0
401,500.0
402,204.0
403,211.0
404,183.0
405,172.0
406,248.0
407,250.0
408,500.0
409,420.0
410,195.0
411,424.0
412,102.0
413,500.0
414,292.0
415,365.0
416,254.0
417,136.0
418,443.0
419,355.0
420,197.0
421,316.0
422,500.0
423,202.0
424,199.0
425,244.0
426,408.0
427,329.0
428,192.0
429,500.0
430,500.0
431,194.0
432,500.0
433,500.0
434,258.0
435,479.0
436,367.0
437,424.0
438,500.0
439,430.0
440,149.0
441,216.0
442,500.0
443,318.0
444,123.0
445,382.0
446,500.0
447,500.0
448,236.0
449,500.0
450,500.0
451,500.0
452,361.0
453,428.0
454,478.0
455,500.0
456,500.0
457,500.0
458,500.0
459,500.0
460,187.0
461,500.0
462,474.0
463,272.0
464,267.0
465,421.0
466,500.0
467,253.0
468,500.0
469,495.0
470,473.0
471,371.0
472,500.0
473,323.0
474,178.0
475,314.0
476,500.0
477,500.0
478,156.0
479,319.0
480,409.0
481,180.0
482,253.0
483,373.0
484,368.0
485,390.0
486,207.0
487,463.0
488,250.0
489,331.0
490,349.0
491,399.0
492,436.0
493,500.0
494,500.0
495,500.0
496,500.0
497,500.0
498,500.0
499,500.0
500,500.0
501,500.0
