epoch,score,epsilon
1,13,0.9930227045625007
2,10,0.9875747132889687
3,13,0.9806841127477479
4,23,0.9689833231354715
5,13,0.9622224402159457
6,15,0.954553460121176
7,17,0.9459988934677862
8,37,0.9281901805911033
9,16,0.9203320437639437
10,13,0.9139106151940054
11,15,0.9066266837209999
12,9,0.9021037362650792
13,12,0.8962576207922821
14,12,0.8904493912795439
15,29,0.8771890363998035
16,12,0.8715043815290714
17,20,0.8623991949408877
18,10,0.8576678395884348
19,14,0.8512577958655425
20,9,0.847011070778718
21,16,0.8398402031833945
22,7,0.8364867153768749
23,30,0.8236179445087961
24,11,0.8186898039137951
25,14,0.8125710744985801
26,25,0.8020734086018824
27,12,0.7968755432391246
28,15,0.7905243894687576
29,15,0.7842238548377993
30,36,0.7698455283441881
31,8,0.7663881439990762
32,15,0.7602799769313064
33,11,0.7557308208051414
34,11,0.7512088846796185
35,13,0.7459674783559345
36,8,0.7426173305838513
37,11,0.7381738593872831
38,12,0.7333900973347661
39,10,0.7293665208022085
40,13,0.7242775151043508
41,21,0.716352150371815
42,26,0.7067439951106813
43,12,0.7021639154158236
44,14,0.6969160779772499
45,10,0.6930926077849172
46,15,0.6875686112631343
47,14,0.6824298563078359
48,28,0.672603579332449
49,27,0.6632504156875374
50,12,0.6589521976870846
51,23,0.6510900727383278
52,25,0.6426785918638932
53,22,0.6353282955604289
54,10,0.6318427126083592
55,13,0.6274341593324599
56,15,0.6224334652334746
57,10,0.6190186268099763
58,14,0.6143922011939235
59,15,0.6094954524127577
60,13,0.6052428225734617
61,9,0.6022234083716455
62,20,0.5959315794179285
63,18,0.5902956334504145
64,23,0.5832526672941704
65,34,0.5731320291799872
66,17,0.5679957048674754
67,56,0.5520323940694551
68,47,0.5389381029368515
69,39,0.5282637712869286
70,29,0.5203969962113582
71,36,0.5108557945867671
72,60,0.49550612773289854
73,58,0.48109865017751247
74,33,0.4729870887386839
75,41,0.4631554949058566
76,47,0.4521693771433558
77,38,0.44343532443553363
78,31,0.43639507128873134
79,83,0.4184416511240273
80,37,0.4105643615500444
81,60,0.3982281480067251
82,36,0.3909268471145568
83,58,0.3795601465625972
84,34,0.37297399428017836
85,100,0.3546020119829677
86,91,0.33865590545700125
87,75,0.3260253244045785
88,153,0.3018577271301075
89,99,0.28713236168526546
90,63,0.2780873567705221
91,46,0.2716268964330533
92,61,0.26333359955845365
93,179,0.240663371973718
94,67,0.2326163796528104
95,73,0.22416477953746822
96,95,0.21365646050207598
97,113,0.2018157486181985
98,74,0.19438597949240838
99,259,0.17068389126086556
100,100,0.16227633074256287
101,187,0.14771387412025475
102,181,0.1348623140416812
103,216,0.12099233880826246
104,191,0.10991454716684576
105,175,0.10065322694439105
106,252,0.08869021584378464
107,379,0.07333969920327496
108,237,0.06510961937228184
109,363,0.05427299568172313
110,499,0.04226520899753419
111,339,0.035656153873231296
112,392,0.029293703922675423
113,386,0.024138889656671433
114,341,0.020343906951659836
115,404,0.016613752437671096
116,499,0.012937994488627954
117,348,0.01086584792011491
118,470,0.009995187929535779
119,390,0.009995187929535779
120,392,0.009995187929535779
121,383,0.009995187929535779
122,499,0.009995187929535779
123,499,0.009995187929535779
124,499,0.009995187929535779
125,269,0.009995187929535779
126,415,0.009995187929535779
127,476,0.009995187929535779
128,318,0.009995187929535779
129,483,0.009995187929535779
130,418,0.009995187929535779
131,244,0.009995187929535779
132,274,0.009995187929535779
133,499,0.009995187929535779
134,282,0.009995187929535779
135,416,0.009995187929535779
136,421,0.009995187929535779
137,330,0.009995187929535779
138,358,0.009995187929535779
139,361,0.009995187929535779
140,294,0.009995187929535779
141,377,0.009995187929535779
142,380,0.009995187929535779
143,322,0.009995187929535779
144,499,0.009995187929535779
145,356,0.009995187929535779
146,386,0.009995187929535779
147,499,0.009995187929535779
148,478,0.009995187929535779
149,499,0.009995187929535779
150,499,0.009995187929535779
151,499,0.009995187929535779
152,439,0.009995187929535779
153,499,0.009995187929535779
154,437,0.009995187929535779
155,499,0.009995187929535779
156,499,0.009995187929535779
157,254,0.009995187929535779
158,296,0.009995187929535779
159,181,0.009995187929535779
160,206,0.009995187929535779
161,499,0.009995187929535779
162,291,0.009995187929535779
163,226,0.009995187929535779
164,285,0.009995187929535779
165,499,0.009995187929535779
166,499,0.009995187929535779
167,382,0.009995187929535779
168,272,0.009995187929535779
169,499,0.009995187929535779
170,499,0.009995187929535779
171,499,0.009995187929535779
172,499,0.009995187929535779
173,499,0.009995187929535779
174,499,0.009995187929535779
175,499,0.009995187929535779
176,499,0.009995187929535779
177,499,0.009995187929535779
178,499,0.009995187929535779
