score,times,epoch
15.333333333333334,0.0018827120463053386,1
22.333333333333332,0.0860747496287028,2
21.666666666666668,0.10140164693196614,3
19.666666666666668,0.10428142547607422,4
30.666666666666668,0.10725641250610352,5
41.333333333333336,0.11225438117980957,6
38.333333333333336,0.11729971567789714,7
13.333333333333334,0.12051701545715332,8
24.0,0.12357775370279948,9
33.333333333333336,0.13027334213256836,10
19.666666666666668,0.13402541478474936,11
32.333333333333336,0.14079507191975912,12
38.0,0.15042845408121744,13
24.0,0.15680607159932455,14
13.666666666666666,0.16135636965433756,15
19.666666666666668,0.1662446657816569,16
31.0,0.17321070035298666,17
13.333333333333334,0.18143828709920248,18
13.666666666666666,0.18758169809977213,19
26.333333333333332,0.20294634501139322,20
28.333333333333332,0.21565771102905273,21
14.666666666666666,0.22298534711201987,22
26.0,0.2285010814666748,23
22.666666666666668,0.23384404182434082,24
19.0,0.23806937535603842,25
28.333333333333332,0.2459257443745931,26
14.0,0.25428541501363117,27
21.333333333333332,0.26261011759440106,28
16.666666666666668,0.268385648727417,29
29.666666666666668,0.28087035814921063,30
24.333333333333332,0.2885950406392415,31
17.333333333333332,0.29668164253234863,32
19.666666666666668,0.30264608065287274,33
21.333333333333332,0.3206367492675781,34
21.333333333333332,0.3331563472747803,35
20.0,0.34043677647908527,36
22.333333333333332,1.4484774271647136,37
23.0,2.182432015736898,38
14.333333333333334,2.439768075942993,39
10.0,2.6097070376078286,40
14.0,2.77286704381307,41
15.0,3.005052407582601,42
14.0,3.373303016026815,43
22.333333333333332,3.5892093976338706,44
10.333333333333334,3.7106310526529946,45
8.666666666666666,3.8459033171335855,46
13.333333333333334,4.147021611531575,47
13.666666666666666,4.573194742202759,48
11.333333333333334,4.861141363779704,49
12.666666666666666,5.463816006978353,50
11.666666666666666,5.913018306096395,51
20.0,7.108189026514689,52
17.333333333333332,7.874138752619426,53
11.0,8.333061695098877,54
15.333333333333334,9.122495412826538,55
12.0,9.755131642023722,56
13.666666666666666,10.418063720067343,57
19.0,11.252848704655966,58
11.333333333333334,11.719943761825562,59
28.0,12.83967638015747,60
10.333333333333334,13.258119344711304,61
19.0,13.951155424118042,62
18.333333333333332,14.656769037246704,63
36.0,16.050551414489746,64
28.0,17.079502026240032,65
30.666666666666668,18.27028210957845,66
35.666666666666664,19.568880319595337,67
31.333333333333332,20.79226239522298,68
48.666666666666664,22.522937059402466,69
48.0,24.34627302487691,70
64.0,26.764928658803303,71
69.0,29.336802005767822,72
30.666666666666668,30.46949005126953,73
55.666666666666664,32.516236782073975,74
66.0,34.93179202079773,75
36.333333333333336,36.34329239527384,76
34.333333333333336,37.6996496518453,77
36.666666666666664,39.201409022013344,78
36.333333333333336,40.95479869842529,79
64.0,44.32203563054403,80
74.66666666666667,48.01930236816406,81
62.666666666666664,51.02380998929342,82
56.0,53.9070733388265,83
53.333333333333336,56.14548969268799,84
65.66666666666667,59.933262745539345,85
93.0,65.25536306699117,86
84.66666666666667,69.9682453473409,87
86.66666666666667,74.91079703966777,88
129.66666666666666,81.67096106211345,89
165.0,89.61058338483174,90
129.66666666666666,95.95337239901225,91
126.0,101.89015436172485,92
203.0,111.09481565157573,93
184.33333333333334,121.52119445800781,94
179.0,131.55848741531372,95
193.66666666666666,140.60584036509195,96
271.0,155.63652030626932,97
284.0,172.0580423672994,98
247.33333333333334,186.71117774645487,99
261.0,201.62999471028647,100
262.0,214.35311937332153,101
294.6666666666667,225.77206500371298,102
269.3333333333333,236.9439860979716,103
260.6666666666667,248.54230165481567,104
250.33333333333334,259.35024905204773,105
256.3333333333333,270.54517436027527,106
282.5,208.91583800315857,107
184.5,218.58783650398254,108
133.5,225.55920255184174,109
141.0,231.7985644340515,110
144.0,236.84545397758484,111
149.5,242.3598200082779,112
179.5,250.59082698822021,113
232.0,263.7868345975876,114
152.0,271.583620429039,115
157.0,278.4371590614319,116
175.5,287.64098262786865,117
149.5,296.0023854970932,118
166.0,304.1658215522766,119
163.0,310.6704285144806,120
191.5,320.53945302963257,121
292.0,336.51929557323456,122
187.5,346.9206165075302,123
202.5,358.371080994606,124
159.5,366.3662384748459,125
207.0,377.7265729904175,126
177.5,387.1678295135498,127
251.5,398.8024355173111,128
180.0,405.5842705965042,129
274.5,415.71665155887604,130
242.0,424.9851895570755,131
316.0,438.05349004268646,132
317.0,449.6860384941101,133
296.0,460.4891290664673,134
195.0,469.4927520751953,135
262.0,480.06625151634216,136
324.0,490.99814009666443,137
313.0,501.7301895618439,138
292.5,512.2727060317993,139
340.0,523.8964235782623,140
266.0,533.5656360387802,141
398.0,547.7224941253662,142
265.5,556.177232503891,143
339.0,567.1459845304489,144
384.0,581.2418940067291,145
354.0,593.1964750289917,146
381.5,605.8102231025696,147
382.0,618.7847136259079,148
299.5,629.9351605176926,149
457.0,644.7997214794159,150
351.5,655.6965820789337,151
381.5,669.8569279909134,152
358.5,688.4700770378113,153
434.0,714.340455532074,154
431.0,735.9831254482269,155
326.0,748.1132690906525,156
357.0,760.9856150150299,157
368.5,774.1877815723419,158
362.0,787.3455499410629,159
483.5,804.9379354715347,160
357.0,818.7293189764023,161
436.5,836.8907135725021,162
388.5,856.4398601055145,163
365.0,872.2022404670715,164
411.0,891.5153410434723,165
386.0,912.160688996315,166
232.0,505.95917987823486,167
340.0,519.3275439739227,168
270.0,527.907369852066,169
290.0,538.1599500179291,170
280.0,551.0255959033966,171
292.0,560.9138188362122,172
284.0,576.8638958930969,173
223.0,589.8720059394836,174
242.0,603.6578340530396,175
305.0,620.3731420040131,176
235.0,634.0152950286865,177
243.0,647.5652070045471,178
221.0,660.2489168643951,179
306.0,677.0147459506989,180
253.0,691.3960838317871,181
235.0,705.3399670124054,182
238.0,718.9260590076447,183
206.0,730.1957068443298,184
285.0,746.0333240032196,185
226.0,758.7118878364563,186
226.0,771.1921050548553,187
258.0,785.6471450328827,188
319.0,802.0448110103607,189
260.0,813.5540189743042,190
284.0,824.0126750469208,191
227.0,834.7825839519501,192
261.0,849.6419880390167,193
339.0,869.0315730571747,194
143.0,877.1947929859161,195
182.0,885.0819289684296,196
335.0,898.1077239513397,197
260.0,907.9425549507141,198
330.0,925.8932249546051,199
255.0,940.2397329807281,200
274.0,954.5034890174866,201
322.0,968.456768989563,202
285.0,979.0173678398132,203
275.0,989.9378299713135,204
499.0,1014.3137919902802,205
276.0,1029.8444209098816,206
241.0,1043.2492430210114,207
304.0,1056.2395198345184,208
345.0,1068.9359600543976,209
252.0,1079.0089418888092,210
267.0,1092.5379190444946,211
499.0,1120.4125318527222,212
367.0,1139.7478840351105,213
309.0,1154.6924579143524,214
348.0,1169.7753729820251,215
372.0,1183.8770229816437,216
366.0,1196.5352609157562,217
460.0,1218.9347200393677,218
499.0,1242.0142550468445,219
305.0,1254.71510887146,220
322.0,1272.6882679462433,221
271.0,1288.1951248645782,222
315.0,1301.2589089870453,223
354.0,1314.0754878520966,224
413.0,1332.8221218585968,225
499.0,1354.2315549850464,226
239.0,1362.8398718833923,227
479.0,1383.5122120380402,228
290.0,1399.9722049236298,229
267.0,1415.277839899063,230
293.0,1431.5122919082642,231
413.0,1454.316880941391,232
319.0,1472.1778619289398,233
499.0,1494.4919140338898,234
272.0,1504.785838842392,235
330.0,1522.4343528747559,236
499.0,1550.331603050232,237
339.0,1569.758414030075,238
317.0,1582.2775738239288,239
330.0,1594.9993259906769,240
439.0,1619.4070990085602,241
330.0,1632.2975449562073,242
329.0,1646.264415025711,243
401.0,1664.176915884018,244
423.0,1685.3968770503998,245
319.0,1696.9896779060364,246
385.0,1714.621733903885,247
355.0,1730.3894929885864,248
341.0,1745.2889380455017,249
324.0,1761.2229969501495,250
270.0,1772.162842988968,251
326.0,1785.2864649295807,252
317.0,1804.1610589027405,253
359.0,1824.477861881256,254
394.0,1846.727012872696,255
440.0,1871.0499279499054,256
332.0,1889.6837899684906,257
352.0,1909.0277218818665,258
357.0,1927.810045003891,259
359.0,1941.8607439994812,260
364.0,1959.1398749351501,261
219.0,1971.3226778507233,262
238.0,1984.646330833435,263
258.0,1998.7759330272675,264
252.0,2013.2263159751892,265
273.0,2028.4125130176544,266
283.0,2039.9211568832397,267
378.0,2056.010269880295,268
264.0,2070.87389087677,269
311.0,2088.7155289649963,270
457.0,2111.4737498760223,271
349.0,2126.431118965149,272
341.0,2145.7997119426727,273
337.0,2165.0754849910736,274
408.0,2188.8450169563293,275
299.0,2201.6830830574036,276
408.0,2220.2466838359833,277
499.0,2247.442477941513,278
434.0,2271.9958729743958,279
366.0,2290.9057879447937,280
491.0,2308.870067834854,281
496.0,2326.974511861801,282
499.0,2344.961741924286,283
373.0,2358.2613060474396,284
499.0,2376.5607318878174,285
417.0,2391.9417350292206,286
274.0,2402.258600950241,287
402.0,2421.6879420280457,288
499.0,2446.9995398521423,289
411.0,2467.0096640586853,290
397.0,2488.7518339157104,291
499.0,2516.6328508853912,292
348.0,2536.3139810562134,293
499.0,2556.981820821762,294
499.0,2575.635496854782,295
499.0,2593.920119047165,296
499.0,2620.4902868270874,297
499.0,2643.650473833084,298
499.0,2669.253403902054,299
499.0,2693.3757979869843,300
