epoch,score,time
1,16.0,0.19965195655822754
2,12.0,0.2197558879852295
3,20.0,0.24474096298217773
4,22.0,0.2696690559387207
5,22.0,0.29791903495788574
6,18.0,0.3197629451751709
7,9.0,0.33923792839050293
8,28.0,0.37288403511047363
9,41.0,0.41257596015930176
10,30.0,0.4398519992828369
11,17.0,0.4614729881286621
12,10.0,0.4773368835449219
13,40.0,0.513739824295044
14,26.0,0.5386190414428711
15,10.0,0.5541729927062988
16,16.0,0.5738959312438965
17,14.0,0.5904388427734375
18,17.0,0.6106059551239014
19,19.0,0.631782054901123
20,17.0,0.6542949676513672
21,18.0,0.6730108261108398
22,39.0,0.7073140144348145
23,24.0,0.7332699298858643
24,50.0,0.7772269248962402
25,21.0,0.805351972579956
26,20.0,0.8329348564147949
27,29.0,0.8661439418792725
28,20.0,0.894542932510376
29,29.0,0.930840015411377
30,36.0,0.9694559574127197
31,31.0,1.0008699893951416
32,20.0,1.02262282371521
33,39.0,1.060797929763794
34,15.0,1.0823068618774414
35,15.0,1.1029279232025146
36,29.0,1.1331489086151123
37,12.0,1.155616044998169
38,14.0,1.179175853729248
39,70.0,1.2552659511566162
40,22.0,1.28444504737854
41,33.0,1.3262999057769775
42,16.0,1.3501288890838623
43,27.0,1.384408950805664
44,31.0,1.4157018661499023
45,39.0,1.4568839073181152
46,30.0,1.4982030391693115
47,30.0,1.537842035293579
48,12.0,1.5597100257873535
49,24.0,1.5912458896636963
50,13.0,1.6130669116973877
51,40.0,1.6581048965454102
52,29.0,1.6885390281677246
53,12.0,1.7097549438476562
54,13.0,1.729395866394043
55,23.0,1.7579710483551025
56,54.0,1.8069748878479004
57,29.0,1.8360068798065186
58,15.0,1.8557238578796387
59,9.0,1.8716528415679932
60,37.0,1.9056880474090576
61,65.0,1.9596199989318848
62,31.0,1.9895868301391602
63,45.0,2.038947820663452
64,26.0,2.065717935562134
65,63.0,2.1195390224456787
66,23.0,2.143934965133667
67,26.0,2.1729350090026855
68,49.0,2.2192459106445312
69,73.0,2.296217918395996
70,16.0,2.3194539546966553
71,47.0,2.368595838546753
72,23.0,2.3963019847869873
73,23.0,2.4272868633270264
74,17.0,2.4501898288726807
75,60.0,2.5073699951171875
76,15.0,2.527683973312378
77,42.0,2.5779929161071777
78,27.0,2.611737012863159
79,21.0,2.6398379802703857
80,38.0,2.6740360260009766
81,21.0,2.6943368911743164
82,78.0,2.7487568855285645
83,12.0,2.763062000274658
84,18.0,2.7819199562072754
85,32.0,2.816694974899292
86,38.0,2.8559298515319824
87,47.0,2.904209852218628
88,22.0,2.9302618503570557
89,33.0,2.9666459560394287
90,10.0,2.984067916870117
91,24.0,3.0130598545074463
92,48.0,3.0625619888305664
93,28.0,3.1057679653167725
94,31.0,3.143066883087158
95,51.0,3.1974878311157227
96,49.0,3.2469429969787598
97,76.0,3.3161580562591553
98,23.0,3.340981960296631
99,45.0,3.384366989135742
100,13.0,3.4016969203948975
101,25.0,3.42864990234375
102,27.0,3.454817056655884
103,59.0,3.5044498443603516
104,39.0,3.537013053894043
105,36.0,3.5716629028320312
106,60.0,3.621880054473877
107,34.0,3.6648268699645996
108,49.0,3.7110979557037354
109,51.0,3.7581379413604736
110,17.0,3.779803991317749
111,41.0,3.8193299770355225
112,30.0,3.8491580486297607
113,57.0,3.9001128673553467
114,20.0,3.9235429763793945
115,79.0,3.987299919128418
116,23.0,4.011373043060303
117,26.0,4.038442850112915
118,48.0,4.084815979003906
119,47.0,4.130096912384033
120,16.0,4.152395963668823
121,105.0,4.232585906982422
122,21.0,4.258746862411499
123,31.0,4.292762994766235
124,29.0,4.3252949714660645
125,23.0,4.356482028961182
126,25.0,4.38613486289978
127,48.0,4.4372289180755615
128,57.0,4.494930028915405
129,34.0,4.53181004524231
130,26.0,4.563395977020264
131,43.0,4.6101720333099365
132,41.0,4.653148889541626
133,40.0,4.698303937911987
134,37.0,4.734586000442505
135,36.0,4.772481918334961
136,117.0,4.878015995025635
137,16.0,4.897956848144531
138,59.0,4.959993839263916
139,47.0,5.012987852096558
140,72.0,5.082422971725464
141,58.0,5.1402528285980225
142,51.0,5.193140983581543
143,44.0,5.232625961303711
144,80.0,5.303520917892456
145,24.0,5.337939977645874
146,22.0,5.374687910079956
147,33.0,5.411772966384888
148,38.0,5.446790933609009
149,45.0,5.490602016448975
150,51.0,5.53684401512146
151,38.0,5.569489002227783
152,23.0,5.59784197807312
153,50.0,5.633906841278076
154,85.0,5.7092390060424805
155,28.0,5.738847017288208
156,29.0,5.7709338665008545
157,31.0,5.802518844604492
158,21.0,5.832779884338379
159,44.0,5.880861043930054
160,44.0,5.935214042663574
161,20.0,5.9590020179748535
162,61.0,6.0164690017700195
163,100.0,6.102596998214722
164,76.0,6.167512893676758
165,36.0,6.197674036026001
166,55.0,6.2428648471832275
167,31.0,6.269485950469971
168,154.0,6.417984962463379
169,37.0,6.461503982543945
170,79.0,6.540259838104248
171,15.0,6.5621418952941895
172,123.0,6.661398887634277
173,67.0,6.723119020462036
174,54.0,6.7748448848724365
175,70.0,6.832324981689453
176,68.0,6.886512041091919
177,29.0,6.914201974868774
178,70.0,6.969993829727173
179,46.0,7.01626992225647
180,24.0,7.04409384727478
